"ITEM CODE";"PARTICULARS";"UOM";"CASE SIZE";"SALE UOM BREAKUP";"SALE UOM (ml/no)";"COST PRICE BTL";"COST PRICE SML/GLS";"COST PRICE ML";"Big Bang Bandra";"BKC";"Lower Parel";"Juhu";"Colaba";"Andheri";"Malad";"Dadar";"THANE";"Chembur";"TOTAL STOCK";"TOTAL CASES";"TOTAL AMOUNT"
"WHISKY : DOMESTIC";"100 PIPERS DELUX";750;12;25;30;1332.16;53.2864;1.7762133333333334;0.0;0.0;0.0;0.32;0.0;0.0;0;0.08;0.04;0.0;0.44;0.03666666666666667;586.1504
"WHISKY : DOMESTIC";"100 PIPERS 12 yrs";750;12;25;30;1895.0;75.8;2.526666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0;0.08;0.32;0.0;0.4;0.03333333333333333;758.0
"WHISKY : DOMESTIC";"ANTIQUITY BLUE (SM)           ";750;12;25;30;865.88;34.6352;1.1545066666666666;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.6;0.6;0.049999999999999996;519.528
"WHISKY : DOMESTIC";"BLACK & WHITE (SM)            ";750;12;25;30;1630.44;65.2176;2.17392;0.0;14.84;0.12;0.0;0.0;0.0;7;0.0;3.32;0.04;25.32;2.11;41282.7408
"WHISKY : DOMESTIC";"BLACK DOG 12 YRS (SM)";750;12;25;30;1923.26;76.9304;2.5643466666666668;31.12;243.84;620.8;87.04;25.36;38.8;104;12.72;13.52;221.2;1398.4;116.53333333333335;2689486.784
"WHISKY : DOMESTIC";"BLACK DOG CENTENARY (SM)      ";750;12;25;30;1495.87;59.834799999999994;1.9944933333333332;106.4;230.76;412.44;35.12;27.0;25.24;72;34.2;6.16;158.76;1108.08;92.33999999999999;1657543.6295999999
"WHISKY : DOMESTIC";"BLENDERS PRIDE (SM)           ";750;12;25;30;814.0;32.56;1.0853333333333333;54.12;57.52;54.24;28.32;56.6;35.44;126;32.8;6.72;52.84;505.0400000000001;42.08666666666667;411102.56000000006
"WHISKY : DOMESTIC";"BLENDER'S PRIDE RESERVE";750;12;25;30;1071.6058333333333;42.86423333333333;1.4288077777777777;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : DOMESTIC";"ROYAL CHALLENGE (SM)          ";750;12;25;30;518.05;20.721999999999998;0.6907333333333333;0.0;0.0;2.04;0.0;0.0;0.0;18;0.0;0.84;0.0;21.32;1.7766666666666666;11044.826
"WHISKY : DOMESTIC";"SIGNATURE (SM)                ";750;12;25;30;779.29;31.171599999999998;1.0390533333333334;0.0;0.0;0.2;0.04;0.0;0.0;0;0.0;0.04;0.0;0.28;0.023333333333333334;218.2012
"WHISKY : DOMESTIC";"SIGNATURE PREMEUM (SM)                ";750;12;25;30;651.91;26.0764;0.8692133333333333;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : DOMESTIC";"TEACHERS 50 (SM)";750;12;25;30;1807.63;72.3052;2.4101733333333333;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;6.0;54.36;60.36;5.03;109108.54680000001
"WHISKY : DOMESTIC";"TEACHERS 50 (SM) 1000";1000;12;33;30;1807.63;54.77666666666667;1.80763;6.75;9.03;5.44;1.99;4.75;7.69;5;7.87;0.0;0.0;48.419999999999995;4.034999999999999;87525.4446
"WHISKY : DOMESTIC";"TEACHERS HIGHLAND (SM)        ";1000;9;33;30;1750.0;53.03030303030303;1.75;95.3;58.3;347.42;46.56;61.0;63.71;81;64.45;0.0;0.0;817.6700000000001;90.85222222222222;1430922.5000000002
"WHISKY : DOMESTIC";"TEACHERS HIGHLAND (SM).      ";750;12;25;30;1287.0;51.48;1.716;12.0;12.0;36.0;0.0;0.0;0.0;0;0.0;104.84;47.96;212.8;17.733333333333334;273873.60000000003
"WHISKY : DOMESTIC";"TEACHERS ORIGIN (SM)          ";1000;12;33;30;2004.0;60.72727272727273;2.004;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : DOMESTIC";"TEACHERS ORIGIN (SM) .         ";750;12;25;30;1957.76;78.3104;2.6103466666666666;0.0;0.08;0.0;0.0;0.0;0.0;0;0.0;9.84;0.0;9.92;0.8266666666666667;19420.9792
"WHISKY : DOMESTIC";"VAT 69 (SM)";750;12;25;30;1417.77;56.7108;1.89036;139.68;153.2;193.24;67.08;24.32;18.48;288;27.52;1.2;160.36;1073.04;89.42;1521323.9208
"WHISKY : DOMESTIC";"VAT 69 BLACK";750;12;25;30;1850.88;74.0352;2.4678400000000003;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : DOMESTIC";"BLACK & WHITE 12 YRS (SM)";750;12;25;30;2500.0;100.0;3.3333333333333335;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : DOMESTIC";"CUTTY SARK";750;12;25;30;2400.0;96.0;3.2;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : DOMESTIC";"TEACHERS GOLDEN";750;12;25;30;2282.0;91.28;3.042666666666667;0.0;0.08;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.08;0.006666666666666667;182.56
"WHISKY : DOMESTIC";"SCOTTISH WISKY";750;12;25;30;2500.0;100.0;3.3333333333333335;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : DOMESTIC";"ROCK DOVE";750;12;25;30;264.0;10.56;0.352;40.88;39.4;25.12;13.88;32.72;29.68;43;8.52;13.96;48.96;296.6;24.71666666666667;78302.40000000001
"WHISKY : DOMESTIC";"ANTIQUITY BLUE (SM) 1000";1000;12;33;30;1495.0;45.303030303030305;1.495;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : DOMESTIC";"KELVIN BRIDGE";700;12;23;30;2200.0;95.65217391304348;3.142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : DOMESTIC";"ROCK DOVE 375";375;24;12;30;132.0;11.0;0.352;0.0;0.0;21.88;0.0;0.0;0.0;0;0.0;0.0;0.0;21.88;0.9116666666666666;2888.16
"WHISKY : IMPORTED";"";0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;4515.336666666667;376.27805555555557;10013351.73042857
"WHISKY : IMPORTED";"AKASHI WHITE OAK";500;12;16;30;2500.0;156.25;5.0;3.18;0.0;7.14;8.38;0.0;1.24;0;0.0;0.0;0.66;20.6;1.7166666666666668;51500.0
"WHISKY : IMPORTED";"AKASHI WHITE OAK 700";700;12;23;30;3500.0;152.17391304347825;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : IMPORTED";"ARDMORE";700;12;23;30;2796.47;121.58565217391303;3.9949571428571424;81.3;24.32857142857143;26.9;8.385714285714286;17.12857142857143;27.385714285714286;10;7.085714285714285;5.257142857142857;5.942857142857143;213.44285714285718;17.786904761904765;596886.5467142857
"WHISKY : IMPORTED";"BALLANTINES (SM)              ";750;12;25;30;1649.76;65.9904;2.19968;44.76;25.88;23.76;7.24;14.76;28.8;45;24.84;7.36;63.52;286.00000000000006;23.83333333333334;471831.3600000001
"WHISKY : IMPORTED";"BOWMORE (SM)                  ";700;12;23;30;3850.67;167.4204347826087;5.500957142857143;0.0;0.0;0.0;0.2571428571428571;0.04285714285714286;0.0;0;0.0;0.0;0.0;0.5714285714285714;0.047619047619047616;2200.382857142857
"WHISKY : IMPORTED";"BUNNAHABHAIN (SM)             ";700;12;23;30;3300.0;143.47826086956522;4.714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : IMPORTED";"CANANDIAN CLUB";750;12;25;30;1892.79;75.7116;2.52372;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : IMPORTED";"CARDHU (SM)                   ";1000;12;33;30;4500.0;136.36363636363637;4.5;0.0;0.0;0.0;0.0;0.96;0.0;0;0.0;0.0;0.0;0.96;0.08;4320.0
"WHISKY : IMPORTED";"CHIVAS REGAL 12 YRS";750;12;25;30;3240.64;129.6256;4.320853333333333;16.24;37.28;56.68;8.48;23.96;44.68;76;6.6;16.56;13.2;299.48;24.956666666666667;970506.8672
"WHISKY : IMPORTED";"CHIVAS REGAL 18 yrs 1 ltr";1000;12;33;30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : IMPORTED";"DEWAR S WHITE LABEL (SM)      ";750;12;25;30;1051.83;42.0732;1.40244;64.48;57.8;66.12;93.48;46.12;51.8;56;43.0;28.08;75.44;582.3199999999999;48.526666666666664;612501.6455999999
"WHISKY : IMPORTED";"GLENFIDDICH 12 YRS (SM)";700;12;23;30;6162.94;267.9539130434782;8.8042;28.642857142857142;16.728571428571428;29.857142857142858;19.814285714285713;11.214285714285714;17.9;18;9.728571428571428;17.857142857142858;29.12857142857143;198.64285714285714;16.553571428571427;1224224.01
"WHISKY : IMPORTED";"GLENFIDDICH 12 YRS 1 Ltr.";1000;12;33;30;4400.0;133.33333333333334;4.4;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : IMPORTED";"GLENFIDDICH 18 YRS (SM)";700;12;23;30;11703.5;508.8478260869565;16.719285714285714;10.342857142857143;0.4714285714285714;0.7714285714285715;2.557142857142857;0.2571428571428571;1.1714285714285715;1;0.8571428571428571;2.0;0.6857142857142857;20.58571428571429;1.7154761904761908;240924.90714285718
"WHISKY : IMPORTED";"GLENFIDDICH 18 YRS 1 Ltr";1000;12;33;30;6300.0;190.9090909090909;6.3;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : IMPORTED";"GLENLEVIT 15";750;12;25;30;4300.0;172.0;5.733333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : IMPORTED";"GLENLIVET 12 YO (SM)";750;12;25;30;4242.29;169.6916;5.656386666666666;0.0;0.08;0.0;0.0;0.0;0.0;0;0.0;0.0;21.12;21.68;1.8066666666666666;91972.8472
"WHISKY : IMPORTED";"GLENMORANGIE (SM)             ";750;12;25;30;3600.0;144.0;4.8;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : IMPORTED";"GRANTS (SM)                   ";750;12;25;30;1000.0;40.0;1.3333333333333333;117.6;68.8;113.72;122.6;28.36;82.44;50;28.72;73.32;88.32;773.8;64.48333333333333;773800.0
"WHISKY : IMPORTED";"J W BLACK LABEL (SM)          ";750;12;25;30;3949.52;157.9808;5.266026666666667;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;1.0;6.84;7.84;0.6533333333333333;30964.2368
"WHISKY : IMPORTED";"J W BLACK LABEL 1LTR.";1000;12;33;30;3797.61;115.07909090909091;3.79761;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : IMPORTED";"J W BLUE LABEL (SM)           ";750;12;25;30;19277.56;771.1024000000001;25.703413333333334;1.04;0.0;0.84;0.0;0.0;0.76;1;0.12;0.0;0.0;3.36;0.27999999999999997;64772.6016
"WHISKY : IMPORTED";"J W BLUE LABEL 1LTR.";1000;12;33;30;25000.0;757.5757575757576;25.0;7.9;0.72;1.0;0.6;0.0;0.0;0;0.0;0.0;0.0;10.22;0.8516666666666667;255500.00000000003
"WHISKY : IMPORTED";"J W DOUBLE BLACK (SM)         ";750;12;25;30;3677.2;147.088;4.902933333333333;0.64;0.0;0.0;0.0;0.0;0.0;0;0.0;1.88;0.04;2.56;0.21333333333333335;9413.632
"WHISKY : IMPORTED";"J W DOUBLE BLACK (SM) 1000";1000;12;33;30;3950.0;119.6969696969697;3.95;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
"WHISKY : IMPORTED";"J W GOLD LABEL (SM)           ";1000;12;33;30;6100.0;184.84848484848484;6.1;0.18;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.48;0.04;2928.0
